Bus Type,Bus,Phase,Current (A)
Residential,R01,0,356.98926896659685
Residential,R01,1,179.9961250754183
Residential,R01,2,179.99196193884717
Industrial,I01,0,234.4990418579837
Industrial,I01,1,187.58369383097028
Industrial,I01,2,187.57931899866733
Commercial,C01,0,87.05820067182417
Commercial,C01,1,44.75302687818564
Commercial,C01,2,44.75199741630139
Residential,R01,0,356.98926896661084
Residential,R01,1,179.9961250754071
Residential,R01,2,179.99196193890748
Industrial,I01,0,234.4990418579499
Industrial,I01,1,187.58369383093716
Industrial,I01,2,187.57931899863593
Commercial,C01,0,87.05820067182415
Commercial,C01,1,44.75302687819193
Commercial,C01,2,44.75199741630549
Residential,R01,0,356.98926896662266
Residential,R01,1,179.996125075475
Residential,R01,2,179.99196193887903
Industrial,I01,0,234.49904185791178
Industrial,I01,1,187.58369383089934
Industrial,I01,2,187.5793189985967
Commercial,C01,0,87.05820067183423
Commercial,C01,1,44.753026878172946
Commercial,C01,2,44.75199741630534
Residential,R01,0,356.9892689666243
Residential,R01,1,179.9961250754813
Residential,R01,2,179.9919619388744
Industrial,I01,0,234.4990418579283
Industrial,I01,1,187.58369383091377
Industrial,I01,2,187.57931899860947
Commercial,C01,0,87.0582006718322
Commercial,C01,1,44.7530268781736
Commercial,C01,2,44.75199741631509
Residential,R01,0,356.9892689666243
Residential,R01,1,179.9961250754403
Residential,R01,2,179.9919619389057
Industrial,I01,0,234.49904185788904
Industrial,I01,1,187.5836938308764
Industrial,I01,2,187.57931899857482
Commercial,C01,0,87.05820067183372
Commercial,C01,1,44.75302687817482
Commercial,C01,2,44.751997416311085
Residential,R01,0,356.98926896660294
Residential,R01,1,179.99612507541949
Residential,R01,2,179.99196193884228
Industrial,I01,0,234.4990418579535
Industrial,I01,1,187.58369383094143
Industrial,I01,2,187.57931899863863
Commercial,C01,0,87.05820067183525
Commercial,C01,1,44.75302687817197
Commercial,C01,2,44.75199741630791
Residential,R01,0,356.98926896661425
Residential,R01,1,179.99612507545766
Residential,R01,2,179.99196193888162
Industrial,I01,0,234.49904185787642
Industrial,I01,1,187.583693830863
Industrial,I01,2,187.57931899856035
Commercial,C01,0,87.05820067182766
Commercial,C01,1,44.75302687819278
Commercial,C01,2,44.75199741630625
Residential,R01,0,356.98926896660566
Residential,R01,1,179.99612507545345
Residential,R01,2,179.9919619388794
Industrial,I01,0,234.49904185796632
Industrial,I01,1,187.58369383095322
Industrial,I01,2,187.5793189986496
Commercial,C01,0,87.05820067182718
Commercial,C01,1,44.753026878199194
Commercial,C01,2,44.75199741630462
Residential,R01,0,356.98926896662164
Residential,R01,1,179.99612507550222
