Bus Type,Bus,Phase,Current (A)
Residential,R01,0,359.88060173098575
Residential,R01,1,362.5886649104566
Residential,R01,2,371.96176471585306
Industrial,I01,0,41.52742290028868
Industrial,I01,1,41.51002783733156
Industrial,I01,2,41.44711469975421
Commercial,C01,0,112.87026010723272
Commercial,C01,1,115.97870476385953
Commercial,C01,2,116.34351117317988
Residential,R01,0,359.88060173099996
Residential,R01,1,362.588664910452
Residential,R01,2,371.96176471582396
Industrial,I01,0,41.52742290028417
Industrial,I01,1,41.51002783732658
Industrial,I01,2,41.44711469974844
Commercial,C01,0,112.87026010723413
Commercial,C01,1,115.97870476386039
Commercial,C01,2,116.34351117318118
Residential,R01,0,359.8806017309808
Residential,R01,1,362.58866491047615
Residential,R01,2,371.96176471583243
Industrial,I01,0,41.527422900294304
Industrial,I01,1,41.51002783733217
Industrial,I01,2,41.44711469975743
Commercial,C01,0,112.87026010723471
Commercial,C01,1,115.97870476385786
Commercial,C01,2,116.34351117318735
Residential,R01,0,359.88060173100695
Residential,R01,1,362.58866491046547
Residential,R01,2,371.96176471582686
Industrial,I01,0,41.52742290028786
Industrial,I01,1,41.5100278373273
Industrial,I01,2,41.44711469975293
Commercial,C01,0,112.87026010722448
Commercial,C01,1,115.97870476386014
Commercial,C01,2,116.34351117319181
Residential,R01,0,359.8806017309749
Residential,R01,1,362.5886649104595
Residential,R01,2,371.9617647158349
Industrial,I01,0,41.52742290029038
Industrial,I01,1,41.51002783733081
Industrial,I01,2,41.44711469975101
Commercial,C01,0,112.87026010723244
Commercial,C01,1,115.97870476385965
Commercial,C01,2,116.3435111731933
Residential,R01,0,359.8806017309863
Residential,R01,1,362.5886649104719
Residential,R01,2,371.96176471582805
Industrial,I01,0,41.527422900289736
Industrial,I01,1,41.51002783732881
Industrial,I01,2,41.4471146997539
Commercial,C01,0,112.8702601072455
Commercial,C01,1,115.97870476386267
Commercial,C01,2,116.34351117318435
Residential,R01,0,359.8806017310021
Residential,R01,1,362.5886649104816
Residential,R01,2,371.9617647158355
Industrial,I01,0,41.5274229002909
Industrial,I01,1,41.510027837330846
Industrial,I01,2,41.44711469975517
Commercial,C01,0,112.87026010724266
Commercial,C01,1,115.97870476386493
Commercial,C01,2,116.34351117317732
Residential,R01,0,359.8806017310155
Residential,R01,1,362.5886649104676
Residential,R01,2,371.96176471585045
Industrial,I01,0,41.527422900293885
Industrial,I01,1,41.510027837331926
Industrial,I01,2,41.44711469975806
Commercial,C01,0,112.87026010724408
Commercial,C01,1,115.97870476383977
Commercial,C01,2,116.34351117318433
Residential,R01,0,359.88060173099797
Residential,R01,1,362.58866491046814
Residential,R01,2,371.9617647158283
Industrial,I01,0,41.52742290029366
Industrial,I01,1,41.51002783733404
Industrial,I01,2,41.44711469975871
Commercial,C01,0,112.87026010724635
Commercial,C01,1,115.97870476386656
Commercial,C01,2,116.3435111731955
Residential,R01,0,359.88060173099257
Residential,R01,1,362.5886649104543
Residential,R01,2,371.96176471582953
Industrial,I01,0,41.527422900283995
Industrial,I01,1,41.510027837328096
Industrial,I01,2,41.447114699750685
Commercial,C01,0,112.87026010724237
Commercial,C01,1,115.97870476385309
Commercial,C01,2,116.3435111731756
Residential,R01,0,359.88060173098796
Residential,R01,1,362.5886649105007
Residential,R01,2,371.9617647157802
Industrial,I01,0,41.527422900287625
Industrial,I01,1,41.510027837328096
Industrial,I01,2,41.44711469975133
Commercial,C01,0,112.87026010723784
Commercial,C01,1,115.97870476386925
Commercial,C01,2,116.34351117318117
Residential,R01,0,359.8806017310004
Residential,R01,1,362.5886649104551
Residential,R01,2,371.96176471582345
Industrial,I01,0,41.527422900287974
Industrial,I01,1,41.51002783732806
Industrial,I01,2,41.447114699751324
Commercial,C01,0,112.87026010723216
Commercial,C01,1,115.97870476386373
Commercial,C01,2,116.34351117317053
Residential,R01,0,359.88060173099757
Residential,R01,1,362.5886649104356
Residential,R01,2,371.96176471580407
Industrial,I01,0,41.52742290028441
Industrial,I01,1,41.510027837325985
Industrial,I01,2,41.447114699752305
Commercial,C01,0,112.8702601072367
Commercial,C01,1,115.97870476385984
Commercial,C01,2,116.34351117317692
Residential,R01,0,359.880601730987
Residential,R01,1,362.58866491045467
Residential,R01,2,371.9617647158222
Industrial,I01,0,41.52742290028874
Industrial,I01,1,41.51002783732989
Industrial,I01,2,41.4471146997539
Commercial,C01,0,112.87026010723413
Commercial,C01,1,115.9787047638672
Commercial,C01,2,116.34351117318504
Residential,R01,0,359.8806017309757
Residential,R01,1,362.58866491045006
Residential,R01,2,371.9617647158054
Industrial,I01,0,41.527422900283064
Industrial,I01,1,41.51002783732594
