Bus,Max Voltage,Min Voltage
R01,237.9907094987103,234.76219525811163
R02,237.0257363731419,232.87289843675558
R03,236.06080701106438,230.9835954889803
R04,235.16550733132257,229.2969690273437
R05,234.48663856519886,227.92982355985083
R06,233.80888899428703,226.56267900867292
R07,233.40319527148066,225.95935759415784
R08,232.99751205326822,225.35609024797088
R09,232.5919292849292,224.75307541364015
R10,232.36006477399292,224.63768623141976
R11,235.7710865074911,230.13951327419107
R12,234.36116909499142,228.16677209076494
R13,233.5582028165679,227.0396096660647
R14,232.75553822335263,225.9155737617091
R15,231.67962236087013,222.89564057885133
R16,232.87226204624037,223.83325817134525
R17,231.97181240855755,223.01123062669294
R18,231.52584952318696,222.29180185869478
I01,239.89565824335875,234.0685004350849
I02,235.30874024842117,226.2517338313098
C01,238.49610206675712,233.5287768193247
C02,237.4775333663212,231.40863006493464
C03,236.45908162650912,229.29359129343837
C04,235.90814546771443,228.5937529585553
C05,235.35726790954124,227.89590300951525
C06,235.0364234143803,227.6586178067693
C07,234.7156191872413,227.42177274404486
C08,234.39483978750624,227.18540862405783
C09,234.18826798200547,227.54671239641036
C10,235.3877209290243,226.41902891291053
C11,234.67825163021803,225.68777533684724
C12,234.2537257093527,223.1930456733849
C13,234.2537257093527,223.1930456733849
C14,234.85836370505277,223.30066500994607
C15,234.58764592016726,226.82849711130044
C16,234.17891908431,226.7101548798645
C17,233.64691903068626,223.5967887820955
C18,234.47171906130154,226.1557346409907
C19,234.05495238460037,225.2071622672893
C20,234.0072591724505,226.56398711747286
