Bus,Max Voltage,Min Voltage
R01,238.10956044218452,233.86538598455127
R02,237.1484120641845,230.92716076592802
R03,236.187280579716,227.98938033915118
R04,235.29571603303395,225.25726781691108
R05,234.6502219085442,223.28583751672636
R06,234.0047550214563,221.31468424172064
R07,233.61752639180358,220.12681854353642
R08,233.230307703056,218.93905730137055
R09,232.8432630534506,217.7519167289731
R10,232.62118725525607,217.06952154517126
R11,235.89775410069913,227.13440047610104
R12,234.27003603921406,222.0729136399364
R13,233.24455696498552,218.8904396779937
R14,232.21936979539268,215.71022762357245
R15,231.19438904909654,212.53206878787395
R16,233.08289429520866,218.511813559711
R17,232.25422095632373,215.94424344853056
R18,231.82868359599405,214.626059008135
I01,238.82403139986712,232.97649090755692
I02,236.38758840735525,219.91413345699334
C01,238.86810697245775,232.1039724360222
C02,238.08974583876275,227.23133217356195
C03,237.31139324554914,222.35913022676755
C04,236.94765828502764,220.07710631955624
C05,236.58392520523623,217.79517912401786
C06,236.43102309494623,216.84533339883706
C07,236.27812131247165,215.89550226118524
C08,236.12520519425496,214.94558995569125
C09,236.07426680803368,214.62979029872355
C10,236.37317359292106,216.48526141494517
C11,235.7954192614997,212.8524741621165
C12,235.37277677632784,210.19646944413114
C13,235.37277677632784,210.19646944413114
C14,235.84595432096853,213.21425520597265
C15,235.8857583198899,213.37266682871683
C16,235.52404033497194,211.07195356727655
C17,234.99481088803242,207.70753112449893
C18,235.7704234496128,212.65521340971284
C19,235.78765964688606,212.8461623558154
C20,235.90559272410727,213.58406898514735
