Bus,Max Voltage,Min Voltage
R01,237.5489665567994,232.72758494430622
R02,236.72776538618245,231.02180646468335
R03,235.90650243213804,229.31567908198184
R04,235.14116342388024,227.77363695430702
R05,234.57706732342243,226.86943346242745
R06,234.0130033385337,225.96527660913927
R07,233.65735918310438,225.68699026050783
R08,233.30173166677466,225.40884777593539
R09,232.94630550026156,225.1313443059848
R10,232.72379349712085,225.24957094520505
R11,235.65225774921205,228.5689885412818
R12,234.22687327063664,224.86002727082445
R13,233.3127498403138,221.9479572735393
R14,232.39910306472893,219.0384184249818
R15,231.4856292705727,216.1305688883531
R16,233.20086831071245,223.52356211132516
R17,232.4286257052086,223.58795504046742
R18,232.02739581940475,223.17310329001143
I01,239.5531815381399,233.5314178985629
I02,241.32614648254722,225.50540639247714
C01,238.23551871363009,229.3335059627437
C02,237.21868067023257,226.15662261272192
C03,236.20211087213914,222.97980319162983
C04,235.5552981255336,222.1844417349695
C05,234.90864332567077,221.39042192794784
C06,234.45039325102357,221.79326146160773
C07,233.99225583912548,222.19872399313147
C08,233.53424343170778,222.60705114250928
C09,233.16715975235587,223.55339469396216
C10,235.35605647211605,217.50876155463808
C11,234.83462841074746,214.10615677957472
C12,234.45213164337264,211.60961099563158
C13,234.45213164337264,211.60961099563158
C14,234.87977425816268,214.47654074313226
C15,234.27622257514645,217.354046003581
C16,233.9492645808064,215.25104171920464
C17,233.46960850668108,212.1642262922579
C18,234.1722556540282,216.71093671332443
C19,233.22912271548847,220.80298983855948
C20,233.01468838983368,222.6682385636393
